Date,TA35.TA
2024-01-02,1881.050048828125
2024-01-03,1865.3699951171875
2024-01-04,1874.93994140625
2024-01-07,1867.8499755859375
2024-01-08,1872.6600341796875
2024-01-09,1863.75
2024-01-10,1856.6400146484375
2024-01-11,1860.5400390625
2024-01-14,1857.5699462890625
2024-01-15,1848.989990234375
2024-01-16,1827.2900390625
2024-01-17,1804.1400146484375
2024-01-18,1841.6500244140625
2024-01-21,1842.949951171875
2024-01-22,1843.0799560546875
2024-01-23,1834.260009765625
2024-01-24,1843.699951171875
2024-01-25,1827.2900390625
2024-01-28,1838.9200439453125
2024-01-29,1857.6700439453125
2024-01-30,1839.550048828125
2024-01-31,1832.280029296875
2024-02-01,1825.02001953125
2024-02-04,1830.5699462890625
2024-02-05,1821.9000244140625
2024-02-06,1837.4100341796875
2024-02-07,1841.5699462890625
2024-02-08,1831.550048828125
2024-02-11,1820.3699951171875
2024-02-12,1841.6199951171875
2024-02-13,1849.9300537109375
2024-02-14,1851.469970703125
2024-02-15,1864.22998046875
2024-02-18,1874.8199462890625
2024-02-19,1898.6700439453125
2024-02-20,1900.81005859375
2024-02-21,1894.02001953125
2024-02-22,1914.510009765625
2024-02-25,1938.3599853515625
2024-02-26,1943.449951171875
2024-02-28,1929.8299560546875
2024-02-29,1950.8499755859375
2024-03-03,1962.8599853515625
2024-03-04,1959.81005859375
2024-03-05,1950.0400390625
2024-03-06,1952.6199951171875
2024-03-07,1937.050048828125
2024-03-10,1918.7900390625
2024-03-11,1913.989990234375
2024-03-12,1902.4100341796875
2024-03-13,1900.6300048828125
2024-03-14,1880.5899658203125
2024-03-17,1906.739990234375
2024-03-18,1924.1400146484375
2024-03-19,1936.0799560546875
2024-03-20,1958.0
2024-03-21,1977.6400146484375
2024-03-25,1998.4000244140625
2024-03-26,2005.2900390625
2024-03-27,1998.72998046875
2024-03-28,1994.47998046875
2024-03-31,2010.4100341796875
2024-04-01,2007.0999755859375
2024-04-02,1967.5
2024-04-03,1973.3199462890625
2024-04-04,1945.06005859375
2024-04-08,1996.93994140625
2024-04-09,1980.030029296875
2024-04-10,1965.550048828125
2024-04-11,1936.75
2024-04-14,1938.1800537109375
2024-04-15,1915.6500244140625
2024-04-16,1907.68994140625
2024-04-17,1891.239990234375
2024-04-18,1913.5699462890625
2024-04-21,1933.9200439453125
2024-04-24,1937.949951171875
2024-04-25,1924.760009765625
2024-04-30,1950.1199951171875
2024-05-01,1930.6300048828125
2024-05-02,1939.47998046875
2024-05-05,1946.9599609375
2024-05-06,1944.739990234375
2024-05-07,1968.8299560546875
2024-05-08,1982.7099609375
2024-05-09,2002.760009765625
2024-05-12,2013.5699462890625
2024-05-15,2015.3499755859375
2024-05-16,1982.530029296875
2024-05-19,1959.5400390625
2024-05-20,1978.93994140625
2024-05-21,1972.969970703125
2024-05-22,1969.3900146484375
2024-05-23,1968.5899658203125
2024-05-26,1978.3900146484375
2024-05-27,1979.47998046875
2024-05-28,1995.6400146484375
2024-05-29,2000.6700439453125
2024-05-30,1999.9300537109375
2024-06-02,1996.9100341796875
2024-06-03,2019.4100341796875
2024-06-04,2008.260009765625
2024-06-05,1980.0400390625
2024-06-06,1965.8699951171875
2024-06-09,1973.3499755859375
2024-06-10,1978.6300048828125
2024-06-13,1987.8599853515625
2024-06-16,1974.5699462890625
2024-06-17,2002.56005859375
2024-06-18,2000.6700439453125
2024-06-19,2003.81005859375
2024-06-20,1968.6400146484375
2024-06-23,1964.469970703125
2024-06-24,1954.93994140625
2024-06-25,1969.1300048828125
2024-06-26,1990.300048828125
2024-06-27,1976.4300537109375
2024-06-30,1984.8900146484375
2024-07-01,1972.280029296875
2024-07-02,1983.1199951171875
2024-07-03,1996.239990234375
2024-07-04,2017.4000244140625
2024-07-07,2063.2900390625
2024-07-08,2046.510009765625
2024-07-09,2053.9599609375
2024-07-10,2040.7900390625
2024-07-11,2069.72998046875
2024-07-14,2071.760009765625
2024-07-15,2076.77001953125
2024-07-16,2076.010009765625
2024-07-17,2060.9599609375
2024-07-18,2044.0899658203125
2024-07-21,2028.6600341796875
2024-07-22,2041.5999755859375
2024-07-23,2064.56005859375
2024-07-24,2059.159912109375
2024-07-25,2046.3499755859375
2024-07-29,2021.050048828125
2024-07-30,2005.22998046875
2024-07-31,2011.77001953125
2024-08-01,1983.510009765625
2024-08-04,1933.9200439453125
2024-08-05,1916.1300048828125
2024-08-06,1948.3499755859375
2024-08-07,1978.1800537109375
2024-08-08,2005.9300537109375
2024-08-11,2012.300048828125
2024-08-12,1986.6600341796875
2024-08-14,2022.199951171875
2024-08-15,2055.1201171875
2024-08-18,2065.72998046875
2024-08-19,2056.7900390625
2024-08-20,2060.25
2024-08-21,2045.6400146484375
2024-08-22,2051.2099609375
2024-08-25,2091.610107421875
2024-08-26,2077.14990234375
2024-08-27,2077.81005859375
2024-08-28,2090.31005859375
2024-08-29,2093.080078125
2024-09-01,2074.739990234375
2024-09-02,2091.77001953125
2024-09-03,2059.389892578125
2024-09-04,2045.530029296875
2024-09-05,2069.5400390625
2024-09-09,2038.8599853515625
2024-09-10,2030.6099853515625
2024-09-11,2033.0
2024-09-12,2054.4599609375
2024-09-15,2047.8599853515625
2024-09-16,2016.68994140625
2024-09-17,1993.1199951171875
2024-09-18,2003.0899658203125
2024-09-19,1989.4200439453125
2024-09-23,2029.1800537109375
2024-09-24,2048.7900390625
2024-09-25,2067.8798828125
2024-09-26,2095.760009765625
2024-09-29,2117.179931640625
2024-09-30,2123.639892578125
2024-10-01,2093.47998046875
