ds,y
2015-01-02,27.89646339416504
2015-01-05,27.581893920898438
2015-01-06,27.067846298217773
2015-01-07,27.63560676574707
2015-01-08,28.149641036987305
2015-01-09,28.203346252441406
2015-01-12,28.08058738708496
2015-01-13,28.003862380981445
2015-01-14,27.8887882232666
2015-01-15,27.766033172607422
2015-01-16,27.965511322021484
2015-01-20,27.689300537109375
2015-01-21,27.988521575927734
2015-01-22,28.318435668945312
2015-01-23,27.965511322021484
2015-01-26,27.47447967529297
2015-01-27,26.2315673828125
2015-01-28,25.917001724243164
2015-01-29,26.246917724609375
2015-01-30,25.349258422851562
2015-02-02,25.817270278930664
2015-02-03,25.855623245239258
2015-02-04,25.963804244995117
2015-02-05,26.22653579711914
2015-02-06,25.73199462890625
2015-02-09,25.44607925415039
2015-02-10,26.04108428955078
2015-02-11,25.925172805786133
2015-02-12,26.37335968017578
2015-02-13,26.551082611083984
2015-02-17,26.844730377197266
2015-02-18,26.481550216674805
2015-02-19,26.4351806640625
2015-02-20,26.589723587036133
2015-02-23,26.087446212768555
2015-02-24,26.589723587036133
2015-02-25,26.234270095825195
2015-02-26,26.00245475769043
2015-02-27,25.6933536529541
2015-03-02,26.319265365600586
2015-03-03,26.350173950195312
2015-03-04,26.365631103515625
2015-03-05,26.064266204833984
2015-03-06,25.646984100341797
2015-03-09,25.283809661865234
2015-03-10,24.49561309814453
2015-03-11,24.982437133789062
2015-03-12,23.800159454345703
2015-03-13,23.90060806274414
2015-03-16,23.82333755493164
2015-03-17,23.637887954711914
2015-03-18,23.86971092224121
2015-03-19,23.753793716430664
2015-03-20,24.194252014160156
2015-03-23,24.109254837036133
2015-03-24,23.792430877685547
2015-03-25,23.09697151184082
2015-03-26,23.243791580200195
2015-03-27,24.72743797302246
2015-03-30,24.31015968322754
2015-03-31,24.163341522216797
2015-04-01,23.807889938354492
2015-04-02,23.807889938354492
2015-04-06,23.985612869262695
2015-04-07,24.15561866760254
2015-04-08,24.194252014160156
2015-04-09,24.14015769958496
2015-04-10,24.6733455657959
2015-04-13,24.518800735473633
2015-04-14,24.333337783813477
2015-04-15,25.368812561035156
2015-04-16,25.399717330932617
2015-04-17,25.090618133544922
2015-04-20,25.291532516479492
2015-04-21,25.05971908569336
2015-04-22,25.268354415893555
2015-04-23,24.99789810180664
2015-04-24,24.78925895690918
2015-04-27,25.113805770874023
2015-04-28,25.515623092651367
2015-04-29,25.4151668548584
2015-04-30,25.152435302734375
2015-05-01,25.824716567993164
2015-05-04,25.83245277404785
2015-05-05,25.404373168945312
2015-05-06,25.077478408813477
2015-05-07,25.093042373657227
2015-05-08,25.528905868530273
2015-05-11,25.443283081054688
2015-05-12,25.1008243560791
2015-05-13,25.404373168945312
2015-05-14,25.661216735839844
2015-05-15,25.676788330078125
2015-05-18,26.003681182861328
2015-05-19,25.801315307617188
2015-05-20,25.97254753112793
2015-05-21,26.112642288208008
2015-05-22,26.03481101989746
2015-05-26,25.76239585876465
2015-05-27,26.23716926574707
2015-05-28,26.47066879272461
2015-05-29,26.8209171295166
2015-06-01,26.392839431762695
2015-06-02,25.89471435546875
2015-06-03,25.47442054748535
2015-06-04,25.14752197265625
2015-06-05,24.781715393066406
2015-06-08,24.361425399780273
2015-06-09,24.322509765625
2015-06-10,24.766145706176758
2015-06-11,24.789499282836914
2015-06-12,24.376983642578125
2015-06-15,24.431472778320312
2015-06-16,24.626056671142578
2015-06-17,24.86733627319336
2015-06-18,25.202011108398438
2015-06-19,24.960725784301758
2015-06-22,25.10860824584961
2015-06-23,24.976299285888672
2015-06-24,24.836191177368164
2015-06-25,24.898454666137695
2015-06-26,24.143497467041016
2015-06-29,23.65315055847168
2015-06-30,23.67650032043457
2015-07-01,23.489702224731445
2015-07-02,23.785465240478516
2015-07-06,23.3807315826416
2015-07-07,23.271774291992188
2015-07-08,22.960445404052734
2015-07-09,22.51680564880371
2015-07-10,22.703601837158203
2015-07-13,23.139455795288086
2015-07-14,23.077190399169922
2015-07-15,23.108325958251953
2015-07-16,23.271774291992188
2015-07-17,22.937091827392578
2015-07-20,22.649120330810547
2015-07-21,22.353361129760742
2015-07-22,22.26774024963379
2015-07-23,22.25995445251465
2015-07-24,21.83966636657715
2015-07-27,22.06537437438965
2015-07-28,22.540157318115234
2015-07-29,22.579069137573242
2015-07-30,22.501232147216797
2015-07-31,22.53236961364746
2015-08-03,22.61020278930664
2015-08-04,22.672466278076172
2015-08-05,22.85296630859375
2015-08-06,22.766637802124023
2015-08-07,22.664623260498047
2015-08-10,23.261056900024414
2015-08-11,22.735248565673828
2015-08-12,23.11979103088379
2015-08-13,22.656774520874023
2015-08-14,22.774486541748047
2015-08-17,22.821571350097656
2015-08-18,22.688159942626953
2015-08-19,22.256528854370117
2015-08-20,21.60515594482422
2015-08-21,20.84391212463379
2015-08-24,20.600629806518555
2015-08-25,20.302412033081055
2015-08-26,21.42465591430664
2015-08-27,21.754261016845703
2015-08-28,22.303621292114258
2015-08-31,22.397796630859375
2015-09-01,21.832752227783203
2015-09-02,22.444881439208984
2015-09-03,22.821571350097656
2015-09-04,22.382091522216797
2015-09-08,23.151182174682617
2015-09-09,22.947141647338867
2015-09-10,22.970684051513672
2015-09-11,23.127639770507812
2015-09-14,23.064857482910156
2015-09-15,23.33168601989746
2015-09-16,23.363082885742188
2015-09-17,23.315988540649414
2015-09-18,22.774486541748047
2015-09-21,22.884353637695312
2015-09-22,22.49981117248535
2015-09-23,22.554746627807617
2015-09-24,22.350706100463867
2015-09-25,22.609683990478516
2015-09-28,22.57044792175293
