Price,y,GLD,QQQ,^TNX
Ticker,^GSPC,GLD,QQQ,^TNX
ds,,,,
2022-06-01,4101.22998046875,172.22999572753906,306.0,2.930999994277954
2022-06-02,4176.81982421875,174.35000610351562,314.3800048828125,2.9130001068115234
2022-06-03,4108.5400390625,172.5800018310547,306.20001220703125,2.9570000171661377
2022-06-06,4121.43017578125,171.82000732421875,307.2200012207031,3.0380001068115234
2022-06-07,4160.68017578125,172.94000244140625,309.8699951171875,2.9719998836517334
2022-06-08,4115.77001953125,172.77999877929688,307.6400146484375,3.0290000438690186
2022-06-09,4017.820068359375,172.22999572753906,299.3999938964844,3.0439999103546143
2022-06-10,3900.860107421875,174.5399932861328,288.8399963378906,3.1559998989105225
2022-06-13,3749.6298828125,169.92999267578125,275.4100036621094,3.365999937057495
2022-06-14,3735.47998046875,168.57000732421875,275.9100036621094,3.4830000400543213
2022-06-15,3789.989990234375,170.77000427246094,282.79998779296875,3.3949999809265137
2022-06-16,3666.77001953125,172.69000244140625,271.3900146484375,3.306999921798706
2022-06-17,3674.840087890625,171.27000427246094,274.69000244140625,3.239000082015991
2022-06-20,3674.840087890625,171.27000427246094,274.69000244140625,3.239000082015991
2022-06-21,3764.7900390625,170.6300048828125,281.0799865722656,3.306999921798706
2022-06-22,3759.889892578125,171.30999755859375,280.6700134277344,3.1559998989105225
2022-06-23,3795.72998046875,170.25999450683594,284.8500061035156,3.068000078201294
2022-06-24,3911.739990234375,170.08999633789062,294.6099853515625,3.125
2022-06-27,3900.110107421875,169.89999389648438,292.45001220703125,3.194000005722046
2022-06-28,3821.550048828125,169.6199951171875,283.5400085449219,3.2060000896453857
2022-06-29,3818.830078125,169.49000549316406,283.79998779296875,3.0929999351501465
2022-06-30,3785.3798828125,168.4600067138672,280.2799987792969,2.9719998836517334
2022-07-01,3825.330078125,168.32000732421875,282.1300048828125,2.8889999389648438
2022-07-04,3825.330078125,168.32000732421875,282.1300048828125,2.8889999389648438
2022-07-05,3831.389892578125,164.75,286.9599914550781,2.809000015258789
2022-07-06,3845.080078125,162.13999938964844,288.79998779296875,2.9130001068115234
2022-07-07,3902.6201171875,162.22999572753906,294.9800109863281,3.007999897003174
2022-07-08,3899.3798828125,162.3000030517578,295.3500061035156,3.1010000705718994
2022-07-11,3854.429931640625,161.42999267578125,289.0400085449219,2.990999937057495
2022-07-12,3818.800048828125,160.8300018310547,286.239990234375,2.9579999446868896
2022-07-13,3801.780029296875,161.60000610351562,285.6499938964844,2.9040000438690186
2022-07-14,3790.3798828125,159.3300018310547,286.6700134277344,2.9600000381469727
2022-07-15,3863.159912109375,159.00999450683594,291.8699951171875,2.930000066757202
2022-07-18,3830.85009765625,159.16000366210938,289.3999938964844,2.9600000381469727
2022-07-19,3936.68994140625,159.5399932861328,298.29998779296875,3.0190000534057617
2022-07-20,3959.89990234375,158.0399932861328,303.0299987792969,3.0360000133514404
2022-07-21,3998.949951171875,160.27000427246094,307.3800048828125,2.9100000858306885
2022-07-22,3961.6298828125,160.6699981689453,301.989990234375,2.7829999923706055
2022-07-25,3966.840087890625,160.22999572753906,300.2699890136719,2.819999933242798
2022-07-26,3921.050048828125,160.0399932861328,294.3699951171875,2.7869999408721924
2022-07-27,4023.610107421875,161.6699981689453,306.80999755859375,2.7339999675750732
2022-07-28,4072.429931640625,163.63999938964844,309.80999755859375,2.680999994277954
2022-07-29,4130.2900390625,164.10000610351562,315.4599914550781,2.6419999599456787
2022-08-01,4118.6298828125,165.02999877929688,315.2699890136719,2.6059999465942383
2022-08-02,4091.18994140625,164.0500030517578,314.3299865722656,2.740999937057495
2022-08-03,4155.169921875,164.4499969482422,322.8900146484375,2.747999906539917
2022-08-04,4151.93994140625,167.1699981689453,324.3999938964844,2.6760001182556152
2022-08-05,4145.18994140625,165.2899932861328,321.75,2.8399999141693115
2022-08-08,4140.06005859375,166.69000244140625,320.7099914550781,2.765000104904175
2022-08-09,4122.47021484375,167.1999969482422,317.0799865722656,2.796999931335449
2022-08-10,4210.240234375,166.77999877929688,325.92999267578125,2.7860000133514404
2022-08-11,4207.27001953125,166.33999633789062,324.0799865722656,2.888000011444092
2022-08-12,4280.14990234375,167.8699951171875,330.3900146484375,2.8489999771118164
2022-08-15,4297.14013671875,165.7100067138672,333.05999755859375,2.7909998893737793
2022-08-16,4305.2001953125,165.4199981689453,332.2799987792969,2.8239998817443848
2022-08-17,4274.0400390625,164.35000610351562,328.489990234375,2.8929998874664307
2022-08-18,4283.740234375,163.9199981689453,329.2799987792969,2.880000114440918
2022-08-19,4228.47998046875,162.72000122070312,322.8599853515625,2.989000082015991
2022-08-22,4137.990234375,161.63999938964844,314.3599853515625,3.0369999408721924
2022-08-23,4128.72998046875,162.77000427246094,314.1000061035156,3.053999900817871
2022-08-24,4140.77001953125,163.25,315.010009765625,3.1059999465942383
2022-08-25,4199.1201171875,163.75,320.5799865722656,3.0260000228881836
2022-08-26,4057.659912109375,161.75999450683594,307.44000244140625,3.0350000858306885
2022-08-29,4030.610107421875,161.86000061035156,304.4100036621094,3.109999895095825
2022-08-30,3986.159912109375,160.50999450683594,301.0199890136719,3.109999895095825
2022-08-31,3955.0,159.27000427246094,299.2699890136719,3.132999897003174
2022-09-01,3966.85009765625,157.8699951171875,299.3999938964844,3.265000104904175
2022-09-02,3924.260009765625,159.25999450683594,295.1700134277344,3.193000078201294
2022-09-05,3924.260009765625,159.25999450683594,295.1700134277344,3.193000078201294
2022-09-06,3908.18994140625,158.3300018310547,293.04998779296875,3.3399999141693115
